year,week,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012,1,3.0,16.0,14.0,27.0,28.0,7.0,29.0,1.0,21.0,23.0,24.0,6.0,12.0,22.0,11.0,2.0,9.0,20.0,8.0,30.0,15.0,25.0,26.0,19.0,18.0,4.0,31.0,17.0,10.0,5.0,13.0
2012,2,21.0,18.0,4.0,27.0,28.0,2.0,29.0,26.0,6.0,11.0,16.0,14.0,23.0,8.0,17.0,15.0,10.0,20.0,5.0,30.0,12.0,13.0,22.0,19.0,7.0,25.0,31.0,1.0,3.0,24.0,9.0
2012,3,4.0,21.0,15.0,27.0,28.0,11.0,29.0,26.0,14.0,17.0,13.0,5.0,2.0,19.0,10.0,12.0,6.0,8.0,16.0,30.0,23.0,3.0,20.0,1.0,18.0,25.0,31.0,22.0,7.0,24.0,9.0
2012,4,22.0,6.0,8.0,27.0,28.0,18.0,29.0,1.0,2.0,15.0,17.0,9.0,25.0,10.0,23.0,24.0,12.0,13.0,5.0,30.0,11.0,26.0,4.0,21.0,7.0,16.0,31.0,20.0,3.0,19.0,14.0
2012,5,3.0,17.0,11.0,27.0,28.0,6.0,29.0,13.0,19.0,14.0,25.0,18.0,15.0,1.0,16.0,5.0,23.0,20.0,7.0,30.0,24.0,26.0,10.0,12.0,21.0,22.0,31.0,9.0,2.0,4.0,8.0
2012,6,26.0,17.0,4.0,27.0,28.0,23.0,29.0,22.0,21.0,19.0,10.0,12.0,13.0,14.0,25.0,15.0,11.0,6.0,8.0,30.0,9.0,3.0,18.0,24.0,1.0,2.0,31.0,7.0,5.0,16.0,20.0
2012,7,25.0,24.0,16.0,27.0,28.0,7.0,29.0,26.0,15.0,13.0,9.0,6.0,22.0,5.0,8.0,14.0,12.0,10.0,17.0,30.0,19.0,21.0,18.0,2.0,20.0,4.0,31.0,3.0,23.0,1.0,11.0
2012,8,5.0,14.0,8.0,27.0,28.0,18.0,29.0,10.0,19.0,9.0,17.0,11.0,20.0,15.0,3.0,7.0,22.0,12.0,6.0,30.0,16.0,26.0,24.0,23.0,21.0,4.0,31.0,13.0,1.0,25.0,2.0
2012,9,6.0,10.0,11.0,27.0,28.0,25.0,29.0,9.0,24.0,18.0,14.0,7.0,4.0,1.0,15.0,5.0,8.0,21.0,20.0,30.0,13.0,26.0,22.0,19.0,12.0,23.0,31.0,16.0,2.0,3.0,17.0
2012,10,1.0,5.0,14.0,27.0,28.0,7.0,29.0,24.0,19.0,15.0,16.0,2.0,25.0,11.0,12.0,6.0,22.0,8.0,23.0,30.0,13.0,21.0,10.0,18.0,9.0,17.0,31.0,20.0,3.0,26.0,4.0
2012,11,26.0,8.0,13.0,27.0,28.0,11.0,29.0,3.0,12.0,24.0,21.0,25.0,1.0,15.0,2.0,19.0,6.0,9.0,7.0,30.0,23.0,18.0,10.0,4.0,20.0,14.0,31.0,5.0,22.0,17.0,16.0
2012,12,5.0,17.0,9.0,27.0,28.0,6.0,29.0,14.0,18.0,13.0,21.0,2.0,15.0,1.0,24.0,12.0,16.0,20.0,23.0,30.0,11.0,22.0,7.0,3.0,8.0,26.0,31.0,25.0,4.0,10.0,19.0
2012,13,9.0,4.0,13.0,27.0,28.0,7.0,29.0,1.0,6.0,14.0,16.0,12.0,21.0,19.0,5.0,15.0,2.0,10.0,20.0,30.0,8.0,25.0,18.0,24.0,17.0,26.0,31.0,22.0,3.0,23.0,11.0
2012,14,22.0,8.0,9.0,27.0,28.0,7.0,29.0,17.0,1.0,14.0,19.0,4.0,26.0,3.0,6.0,2.0,12.0,20.0,10.0,30.0,16.0,25.0,18.0,13.0,15.0,23.0,31.0,11.0,5.0,24.0,21.0
2012,15,9.0,14.0,10.0,27.0,28.0,17.0,29.0,4.0,2.0,15.0,8.0,12.0,1.0,3.0,22.0,13.0,5.0,19.0,7.0,30.0,11.0,25.0,21.0,24.0,16.0,20.0,31.0,23.0,6.0,26.0,18.0
2012,16,25.0,10.0,6.0,27.0,28.0,1.0,29.0,23.0,3.0,13.0,16.0,14.0,18.0,2.0,4.0,24.0,7.0,12.0,19.0,30.0,5.0,26.0,11.0,17.0,8.0,22.0,31.0,21.0,15.0,9.0,20.0
2012,17,20.0,17.0,13.0,27.0,28.0,4.0,29.0,8.0,15.0,9.0,16.0,18.0,19.0,11.0,25.0,3.0,6.0,22.0,24.0,30.0,12.0,23.0,2.0,7.0,5.0,10.0,31.0,21.0,14.0,1.0,26.0
2012,18,7.0,4.0,17.0,27.0,28.0,22.0,29.0,20.0,8.0,16.0,2.0,9.0,1.0,12.0,15.0,6.0,5.0,21.0,23.0,30.0,10.0,19.0,18.0,14.0,11.0,13.0,31.0,25.0,3.0,26.0,24.0
2012,19,1.0,6.0,10.0,27.0,28.0,4.0,29.0,25.0,12.0,8.0,18.0,24.0,13.0,16.0,19.0,26.0,17.0,14.0,21.0,30.0,5.0,9.0,11.0,23.0,15.0,3.0,31.0,20.0,2.0,22.0,7.0
2012,20,13.0,8.0,10.0,27.0,28.0,4.0,29.0,20.0,19.0,7.0,5.0,1.0,16.0,18.0,9.0,14.0,17.0,11.0,15.0,30.0,6.0,22.0,3.0,23.0,12.0,26.0,31.0,25.0,21.0,24.0,2.0
2012,21,24.0,16.0,6.0,27.0,28.0,19.0,29.0,22.0,15.0,18.0,21.0,3.0,23.0,4.0,7.0,2.0,9.0,20.0,1.0,30.0,12.0,14.0,17.0,11.0,8.0,26.0,31.0,5.0,25.0,10.0,13.0
2012,22,25.0,10.0,15.0,27.0,28.0,16.0,29.0,11.0,21.0,5.0,14.0,22.0,2.0,24.0,7.0,8.0,17.0,12.0,18.0,30.0,3.0,1.0,4.0,20.0,9.0,26.0,31.0,23.0,13.0,19.0,6.0
2012,23,26.0,8.0,20.0,27.0,28.0,13.0,29.0,19.0,2.0,12.0,5.0,14.0,24.0,7.0,16.0,22.0,9.0,6.0,18.0,30.0,10.0,23.0,3.0,11.0,1.0,25.0,31.0,4.0,17.0,15.0,21.0
2012,24,19.0,16.0,3.0,27.0,28.0,18.0,29.0,11.0,20.0,14.0,10.0,24.0,2.0,7.0,15.0,22.0,21.0,6.0,4.0,30.0,8.0,1.0,13.0,12.0,9.0,25.0,31.0,26.0,5.0,23.0,17.0
2012,25,5.0,19.0,9.0,27.0,28.0,2.0,29.0,16.0,12.0,8.0,23.0,18.0,4.0,6.0,22.0,24.0,7.0,13.0,25.0,30.0,20.0,26.0,14.0,17.0,10.0,21.0,31.0,3.0,1.0,15.0,11.0
2012,26,10.0,11.0,12.0,27.0,28.0,21.0,29.0,4.0,5.0,14.0,8.0,9.0,25.0,24.0,7.0,20.0,13.0,1.0,18.0,30.0,17.0,19.0,15.0,23.0,3.0,2.0,31.0,16.0,22.0,26.0,6.0
2012,27,14.0,9.0,15.0,27.0,28.0,8.0,29.0,2.0,1.0,11.0,17.0,6.0,4.0,7.0,20.0,22.0,12.0,18.0,5.0,30.0,16.0,24.0,10.0,19.0,21.0,23.0,31.0,26.0,13.0,25.0,3.0
2012,28,22.0,5.0,21.0,27.0,28.0,11.0,29.0,19.0,3.0,6.0,14.0,1.0,24.0,13.0,7.0,15.0,17.0,20.0,8.0,30.0,4.0,25.0,2.0,10.0,16.0,18.0,31.0,9.0,23.0,26.0,12.0
2012,29,22.0,6.0,14.0,27.0,28.0,24.0,29.0,16.0,25.0,13.0,5.0,12.0,15.0,3.0,9.0,2.0,20.0,23.0,4.0,30.0,7.0,26.0,18.0,19.0,10.0,1.0,31.0,8.0,17.0,21.0,11.0
2012,30,12.0,19.0,20.0,27.0,28.0,24.0,29.0,23.0,6.0,22.0,8.0,15.0,16.0,11.0,7.0,10.0,13.0,14.0,4.0,30.0,17.0,25.0,9.0,21.0,3.0,26.0,31.0,1.0,2.0,5.0,18.0
2012,31,18.0,11.0,20.0,27.0,28.0,22.0,29.0,5.0,8.0,12.0,26.0,13.0,24.0,1.0,6.0,7.0,14.0,2.0,4.0,30.0,16.0,9.0,3.0,19.0,10.0,23.0,31.0,17.0,15.0,25.0,21.0
2012,32,4.0,24.0,10.0,27.0,28.0,18.0,29.0,5.0,9.0,13.0,23.0,14.0,21.0,7.0,16.0,8.0,25.0,11.0,6.0,30.0,20.0,2.0,19.0,17.0,26.0,3.0,31.0,15.0,22.0,1.0,12.0
2012,33,23.0,25.0,4.0,27.0,28.0,8.0,29.0,20.0,7.0,18.0,5.0,11.0,22.0,2.0,9.0,13.0,15.0,21.0,16.0,30.0,24.0,14.0,26.0,6.0,17.0,12.0,31.0,10.0,19.0,3.0,1.0
2012,34,1.0,6.0,8.0,27.0,28.0,19.0,29.0,24.0,25.0,15.0,7.0,20.0,23.0,17.0,10.0,4.0,3.0,11.0,13.0,30.0,14.0,9.0,26.0,2.0,21.0,22.0,31.0,16.0,18.0,5.0,12.0
2012,35,2.0,10.0,17.0,27.0,28.0,18.0,29.0,24.0,9.0,22.0,12.0,7.0,23.0,6.0,19.0,8.0,16.0,15.0,5.0,30.0,20.0,26.0,3.0,14.0,13.0,11.0,31.0,21.0,4.0,1.0,25.0
2012,36,24.0,26.0,18.0,27.0,28.0,5.0,29.0,4.0,15.0,25.0,16.0,8.0,12.0,23.0,20.0,22.0,19.0,9.0,11.0,30.0,21.0,3.0,6.0,7.0,10.0,1.0,31.0,2.0,17.0,13.0,14.0
2012,37,5.0,22.0,20.0,27.0,28.0,12.0,29.0,7.0,26.0,19.0,25.0,17.0,2.0,23.0,9.0,24.0,18.0,14.0,10.0,30.0,13.0,4.0,11.0,8.0,15.0,1.0,31.0,6.0,3.0,21.0,16.0
2012,38,10.0,22.0,4.0,27.0,28.0,5.0,29.0,26.0,18.0,8.0,1.0,11.0,12.0,2.0,7.0,15.0,21.0,3.0,20.0,30.0,14.0,17.0,16.0,23.0,6.0,25.0,31.0,24.0,13.0,19.0,9.0
2012,39,10.0,11.0,7.0,27.0,28.0,19.0,29.0,24.0,25.0,5.0,13.0,20.0,16.0,14.0,8.0,18.0,21.0,12.0,17.0,30.0,6.0,1.0,3.0,22.0,9.0,4.0,31.0,26.0,2.0,23.0,15.0
2012,40,15.0,23.0,14.0,27.0,28.0,2.0,29.0,10.0,5.0,21.0,20.0,17.0,26.0,7.0,18.0,3.0,12.0,22.0,19.0,30.0,16.0,24.0,9.0,11.0,4.0,25.0,31.0,6.0,1.0,8.0,13.0
2012,41,3.0,6.0,23.0,27.0,28.0,22.0,29.0,13.0,7.0,8.0,18.0,16.0,26.0,20.0,15.0,11.0,5.0,21.0,17.0,30.0,12.0,25.0,14.0,24.0,4.0,1.0,31.0,10.0,2.0,19.0,9.0
2012,42,14.0,15.0,5.0,27.0,28.0,1.0,29.0,3.0,25.0,22.0,19.0,8.0,2.0,18.0,6.0,17.0,21.0,24.0,9.0,30.0,16.0,26.0,23.0,11.0,7.0,13.0,31.0,4.0,10.0,20.0,12.0
2012,43,1.0,2.0,9.0,27.0,28.0,17.0,29.0,14.0,23.0,4.0,6.0,24.0,16.0,13.0,12.0,19.0,15.0,8.0,25.0,30.0,10.0,7.0,3.0,11.0,26.0,22.0,31.0,21.0,18.0,20.0,5.0
2012,44,13.0,7.0,16.0,27.0,28.0,17.0,29.0,6.0,15.0,24.0,11.0,12.0,20.0,22.0,3.0,4.0,14.0,2.0,26.0,30.0,18.0,10.0,19.0,21.0,23.0,5.0,31.0,9.0,25.0,1.0,8.0
2012,45,15.0,16.0,9.0,27.0,28.0,6.0,29.0,18.0,10.0,11.0,1.0,19.0,26.0,21.0,13.0,20.0,12.0,2.0,17.0,30.0,23.0,25.0,5.0,22.0,3.0,14.0,31.0,24.0,4.0,7.0,8.0
2012,46,10.0,15.0,16.0,27.0,28.0,6.0,29.0,21.0,5.0,17.0,14.0,4.0,26.0,9.0,11.0,1.0,12.0,22.0,2.0,30.0,7.0,24.0,19.0,18.0,8.0,25.0,31.0,20.0,3.0,13.0,23.0
2012,47,2.0,21.0,23.0,27.0,28.0,25.0,29.0,22.0,14.0,20.0,13.0,7.0,3.0,6.0,15.0,11.0,16.0,5.0,17.0,30.0,26.0,1.0,19.0,10.0,18.0,9.0,31.0,4.0,24.0,12.0,8.0
2012,48,24.0,20.0,15.0,27.0,28.0,5.0,29.0,17.0,6.0,10.0,8.0,9.0,3.0,23.0,13.0,26.0,19.0,14.0,25.0,30.0,4.0,7.0,2.0,21.0,1.0,22.0,31.0,11.0,12.0,18.0,16.0
2012,49,25.0,3.0,13.0,27.0,28.0,9.0,29.0,19.0,11.0,16.0,5.0,21.0,23.0,26.0,22.0,7.0,4.0,14.0,15.0,30.0,17.0,24.0,6.0,20.0,1.0,10.0,31.0,2.0,8.0,12.0,18.0
2012,50,15.0,12.0,8.0,27.0,28.0,10.0,29.0,2.0,5.0,13.0,20.0,25.0,4.0,18.0,21.0,22.0,14.0,16.0,23.0,30.0,19.0,1.0,7.0,6.0,26.0,24.0,31.0,3.0,17.0,9.0,11.0
2012,51,24.0,9.0,17.0,27.0,28.0,11.0,29.0,6.0,15.0,19.0,21.0,8.0,7.0,23.0,16.0,26.0,20.0,13.0,3.0,30.0,14.0,22.0,4.0,2.0,10.0,1.0,31.0,12.0,5.0,18.0,25.0
2012,52,1.0,8.0,11.0,27.0,28.0,7.0,29.0,22.0,5.0,3.0,13.0,25.0,18.0,19.0,9.0,4.0,10.0,14.0,21.0,30.0,20.0,24.0,15.0,16.0,6.0,26.0,31.0,12.0,17.0,2.0,23.0
2013,1,5.0,22.0,2.0,28.0,20.0,16.0,29.0,12.0,27.0,21.0,14.0,9.0,19.0,8.0,17.0,26.0,23.0,3.0,7.0,30.0,18.0,25.0,10.0,1.0,11.0,6.0,31.0,24.0,13.0,15.0,4.0
2013,2,1.0,13.0,4.0,27.0,28.0,16.0,29.0,20.0,19.0,5.0,10.0,9.0,2.0,23.0,17.0,26.0,24.0,18.0,22.0,30.0,21.0,3.0,25.0,6.0,15.0,8.0,31.0,14.0,11.0,7.0,12.0
2013,3,22.0,15.0,23.0,27.0,28.0,21.0,29.0,4.0,2.0,19.0,1.0,20.0,13.0,5.0,12.0,3.0,16.0,6.0,8.0,30.0,17.0,10.0,26.0,14.0,25.0,11.0,31.0,9.0,18.0,7.0,24.0
2013,4,7.0,22.0,15.0,27.0,28.0,18.0,29.0,4.0,3.0,19.0,24.0,8.0,25.0,11.0,6.0,21.0,16.0,13.0,12.0,30.0,14.0,2.0,17.0,5.0,26.0,9.0,31.0,1.0,23.0,20.0,10.0
2013,5,22.0,24.0,21.0,27.0,28.0,14.0,29.0,4.0,7.0,3.0,12.0,10.0,13.0,25.0,18.0,5.0,6.0,23.0,26.0,30.0,9.0,20.0,2.0,1.0,11.0,17.0,31.0,8.0,16.0,19.0,15.0
2013,6,13.0,16.0,22.0,27.0,28.0,26.0,29.0,15.0,21.0,19.0,18.0,12.0,23.0,24.0,14.0,10.0,4.0,17.0,25.0,30.0,11.0,8.0,7.0,9.0,6.0,5.0,31.0,3.0,1.0,20.0,2.0
2013,7,2.0,24.0,14.0,27.0,28.0,4.0,29.0,10.0,19.0,9.0,5.0,26.0,17.0,8.0,3.0,25.0,21.0,16.0,18.0,30.0,15.0,22.0,1.0,12.0,6.0,23.0,31.0,7.0,13.0,20.0,11.0
2013,8,1.0,10.0,16.0,27.0,28.0,12.0,29.0,25.0,21.0,8.0,11.0,9.0,6.0,22.0,23.0,14.0,15.0,17.0,19.0,30.0,7.0,4.0,18.0,20.0,3.0,2.0,31.0,5.0,26.0,13.0,24.0
2013,9,8.0,22.0,6.0,27.0,28.0,10.0,29.0,23.0,5.0,13.0,14.0,9.0,20.0,1.0,4.0,3.0,16.0,17.0,21.0,30.0,12.0,24.0,11.0,26.0,19.0,25.0,31.0,15.0,2.0,7.0,18.0
2013,10,25.0,23.0,22.0,27.0,28.0,18.0,29.0,11.0,2.0,8.0,5.0,26.0,24.0,1.0,6.0,14.0,9.0,19.0,15.0,30.0,16.0,12.0,21.0,3.0,17.0,4.0,31.0,7.0,20.0,10.0,13.0
2013,11,20.0,17.0,14.0,27.0,28.0,2.0,29.0,22.0,24.0,26.0,18.0,19.0,21.0,13.0,4.0,9.0,7.0,12.0,1.0,30.0,15.0,25.0,11.0,5.0,10.0,16.0,31.0,6.0,8.0,23.0,3.0
2013,12,19.0,11.0,13.0,27.0,28.0,9.0,29.0,8.0,12.0,24.0,1.0,2.0,18.0,21.0,5.0,4.0,10.0,7.0,25.0,30.0,16.0,14.0,17.0,26.0,3.0,22.0,31.0,20.0,15.0,23.0,6.0
2013,13,16.0,14.0,6.0,27.0,28.0,22.0,29.0,26.0,1.0,15.0,4.0,7.0,25.0,23.0,5.0,24.0,10.0,12.0,2.0,30.0,13.0,11.0,21.0,17.0,8.0,3.0,31.0,9.0,20.0,18.0,19.0
2013,14,20.0,3.0,15.0,27.0,28.0,12.0,29.0,26.0,21.0,8.0,14.0,11.0,24.0,4.0,13.0,2.0,6.0,22.0,18.0,30.0,7.0,1.0,10.0,23.0,5.0,19.0,31.0,25.0,9.0,17.0,16.0
2013,15,3.0,26.0,18.0,27.0,28.0,19.0,29.0,24.0,2.0,20.0,16.0,10.0,4.0,7.0,9.0,14.0,8.0,13.0,17.0,30.0,15.0,1.0,22.0,12.0,25.0,6.0,31.0,21.0,5.0,11.0,23.0
2013,16,8.0,15.0,1.0,27.0,28.0,26.0,29.0,21.0,11.0,5.0,14.0,24.0,22.0,13.0,17.0,10.0,4.0,9.0,23.0,30.0,3.0,25.0,7.0,18.0,6.0,2.0,31.0,20.0,12.0,16.0,19.0
2013,17,6.0,26.0,8.0,27.0,28.0,14.0,29.0,3.0,9.0,24.0,20.0,4.0,2.0,19.0,22.0,15.0,16.0,10.0,11.0,30.0,17.0,1.0,23.0,25.0,12.0,18.0,31.0,13.0,5.0,7.0,21.0
2013,18,10.0,19.0,4.0,27.0,28.0,24.0,29.0,3.0,17.0,8.0,5.0,2.0,14.0,7.0,22.0,6.0,12.0,23.0,21.0,30.0,16.0,1.0,13.0,11.0,18.0,20.0,31.0,25.0,26.0,15.0,9.0
2013,19,4.0,7.0,15.0,27.0,28.0,18.0,29.0,19.0,20.0,25.0,22.0,10.0,6.0,3.0,14.0,11.0,21.0,8.0,13.0,30.0,26.0,1.0,23.0,17.0,5.0,24.0,31.0,16.0,9.0,2.0,12.0
2013,20,16.0,23.0,17.0,27.0,28.0,20.0,29.0,14.0,5.0,13.0,6.0,12.0,1.0,21.0,10.0,7.0,19.0,8.0,18.0,30.0,11.0,24.0,25.0,3.0,15.0,9.0,31.0,22.0,26.0,2.0,4.0
2013,21,11.0,18.0,2.0,27.0,28.0,14.0,29.0,5.0,21.0,7.0,25.0,26.0,20.0,6.0,19.0,3.0,24.0,8.0,1.0,30.0,22.0,16.0,4.0,10.0,12.0,15.0,31.0,13.0,9.0,23.0,17.0
2013,22,10.0,25.0,21.0,27.0,28.0,4.0,29.0,13.0,26.0,20.0,16.0,7.0,1.0,14.0,24.0,18.0,23.0,9.0,11.0,30.0,19.0,5.0,3.0,2.0,22.0,17.0,31.0,15.0,8.0,6.0,12.0
2013,23,24.0,19.0,8.0,27.0,28.0,10.0,29.0,25.0,21.0,12.0,4.0,7.0,1.0,3.0,15.0,9.0,23.0,18.0,14.0,30.0,11.0,5.0,26.0,16.0,6.0,2.0,31.0,22.0,17.0,13.0,20.0
2013,24,15.0,20.0,13.0,27.0,28.0,25.0,29.0,12.0,23.0,9.0,6.0,14.0,2.0,21.0,4.0,11.0,18.0,8.0,16.0,30.0,7.0,1.0,3.0,17.0,22.0,24.0,31.0,26.0,10.0,5.0,19.0
2013,25,26.0,20.0,13.0,27.0,28.0,1.0,29.0,18.0,24.0,14.0,12.0,4.0,2.0,6.0,22.0,15.0,23.0,19.0,10.0,30.0,25.0,5.0,8.0,7.0,16.0,9.0,31.0,21.0,11.0,17.0,3.0
2013,26,26.0,1.0,5.0,27.0,28.0,23.0,29.0,3.0,18.0,13.0,10.0,19.0,20.0,17.0,11.0,9.0,6.0,7.0,16.0,30.0,4.0,22.0,8.0,14.0,25.0,24.0,31.0,2.0,15.0,12.0,21.0
2013,27,26.0,20.0,16.0,27.0,28.0,5.0,29.0,24.0,21.0,15.0,13.0,12.0,22.0,8.0,18.0,9.0,17.0,14.0,7.0,30.0,23.0,1.0,10.0,19.0,4.0,2.0,31.0,25.0,3.0,11.0,6.0
2013,28,19.0,7.0,6.0,27.0,28.0,23.0,29.0,16.0,1.0,3.0,2.0,12.0,8.0,5.0,15.0,24.0,9.0,10.0,20.0,30.0,4.0,11.0,25.0,18.0,22.0,26.0,31.0,21.0,14.0,17.0,13.0
2013,29,2.0,18.0,20.0,27.0,28.0,5.0,29.0,8.0,15.0,7.0,24.0,22.0,1.0,16.0,23.0,19.0,11.0,17.0,14.0,30.0,6.0,9.0,4.0,13.0,25.0,3.0,31.0,10.0,26.0,21.0,12.0
2013,30,4.0,25.0,6.0,27.0,28.0,17.0,29.0,5.0,16.0,3.0,10.0,15.0,26.0,8.0,24.0,18.0,22.0,7.0,23.0,30.0,14.0,11.0,20.0,9.0,2.0,21.0,31.0,19.0,13.0,12.0,1.0
2013,31,6.0,25.0,3.0,27.0,28.0,15.0,29.0,13.0,22.0,18.0,24.0,7.0,26.0,10.0,5.0,8.0,23.0,12.0,14.0,30.0,19.0,21.0,9.0,4.0,16.0,2.0,31.0,1.0,20.0,17.0,11.0
2013,32,19.0,18.0,4.0,27.0,28.0,6.0,29.0,5.0,11.0,12.0,15.0,26.0,21.0,24.0,20.0,14.0,10.0,7.0,9.0,30.0,16.0,25.0,17.0,8.0,23.0,22.0,31.0,3.0,1.0,2.0,13.0
2013,33,26.0,22.0,11.0,27.0,28.0,16.0,29.0,10.0,20.0,15.0,6.0,4.0,17.0,14.0,12.0,24.0,25.0,7.0,5.0,30.0,18.0,21.0,9.0,3.0,23.0,2.0,31.0,13.0,8.0,1.0,19.0
