year,week,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2015,16,8.0,16.0,18.0,28.0,1.0,4.0,29.0,21.0,25.0,14.0,11.0,24.0,19.0,13.0,22.0,23.0,5.0,12.0,6.0,30.0,17.0,26.0,27.0,10.0,15.0,2.0,31.0,7.0,20.0,9.0,3.0
2015,17,17.0,10.0,6.0,28.0,11.0,9.0,29.0,3.0,7.0,13.0,23.0,12.0,24.0,22.0,14.0,20.0,19.0,18.0,25.0,30.0,15.0,2.0,5.0,16.0,4.0,26.0,31.0,27.0,8.0,21.0,1.0
2015,18,6.0,24.0,20.0,28.0,1.0,15.0,29.0,10.0,22.0,21.0,9.0,14.0,27.0,16.0,3.0,19.0,13.0,18.0,7.0,30.0,23.0,5.0,25.0,17.0,26.0,4.0,31.0,8.0,2.0,12.0,11.0
2015,19,23.0,17.0,8.0,28.0,7.0,11.0,29.0,26.0,13.0,14.0,12.0,4.0,18.0,24.0,9.0,10.0,15.0,22.0,27.0,30.0,21.0,25.0,16.0,6.0,19.0,2.0,31.0,1.0,5.0,3.0,20.0
2015,20,19.0,16.0,22.0,28.0,26.0,14.0,29.0,4.0,23.0,10.0,17.0,11.0,1.0,21.0,7.0,9.0,5.0,15.0,24.0,30.0,13.0,6.0,27.0,20.0,2.0,25.0,31.0,8.0,12.0,3.0,18.0
2015,21,2.0,21.0,13.0,28.0,27.0,14.0,29.0,22.0,19.0,15.0,1.0,4.0,18.0,25.0,16.0,5.0,24.0,9.0,23.0,30.0,7.0,8.0,17.0,12.0,20.0,26.0,31.0,6.0,3.0,10.0,11.0
2015,22,19.0,13.0,17.0,28.0,21.0,3.0,29.0,23.0,4.0,15.0,22.0,14.0,2.0,6.0,7.0,20.0,16.0,11.0,25.0,30.0,9.0,1.0,5.0,18.0,10.0,24.0,31.0,27.0,12.0,8.0,26.0
2015,23,8.0,16.0,17.0,28.0,25.0,7.0,29.0,6.0,21.0,10.0,23.0,14.0,19.0,11.0,5.0,2.0,20.0,18.0,13.0,30.0,26.0,12.0,9.0,1.0,24.0,27.0,31.0,4.0,15.0,22.0,3.0
2015,24,23.0,14.0,6.0,28.0,26.0,12.0,29.0,8.0,25.0,18.0,17.0,10.0,22.0,16.0,4.0,11.0,15.0,7.0,19.0,30.0,20.0,13.0,5.0,1.0,3.0,27.0,31.0,24.0,9.0,2.0,21.0
2015,25,18.0,5.0,11.0,28.0,23.0,25.0,29.0,13.0,2.0,22.0,9.0,8.0,1.0,7.0,10.0,12.0,26.0,6.0,4.0,30.0,3.0,19.0,27.0,17.0,21.0,24.0,31.0,20.0,14.0,16.0,15.0
2015,26,22.0,24.0,17.0,29.0,19.0,13.0,28.0,4.0,25.0,10.0,20.0,3.0,11.0,16.0,9.0,18.0,14.0,6.0,15.0,30.0,23.0,7.0,1.0,8.0,26.0,2.0,31.0,27.0,5.0,21.0,12.0
2015,27,20.0,7.0,18.0,29.0,26.0,3.0,1.0,27.0,17.0,14.0,9.0,4.0,19.0,10.0,13.0,22.0,6.0,8.0,23.0,30.0,2.0,24.0,15.0,21.0,11.0,28.0,31.0,25.0,12.0,5.0,16.0
2015,28,17.0,13.0,4.0,29.0,27.0,12.0,28.0,11.0,19.0,6.0,15.0,3.0,25.0,20.0,7.0,18.0,10.0,8.0,23.0,30.0,2.0,26.0,5.0,22.0,1.0,21.0,31.0,16.0,9.0,24.0,14.0
2015,29,18.0,6.0,15.0,29.0,9.0,16.0,1.0,22.0,14.0,8.0,25.0,11.0,28.0,13.0,7.0,2.0,10.0,3.0,26.0,30.0,12.0,21.0,24.0,4.0,23.0,27.0,31.0,5.0,17.0,20.0,19.0
2015,30,20.0,5.0,24.0,29.0,21.0,26.0,27.0,12.0,22.0,17.0,9.0,4.0,25.0,16.0,11.0,15.0,7.0,2.0,10.0,30.0,6.0,3.0,18.0,14.0,8.0,23.0,31.0,1.0,19.0,13.0,28.0
2015,31,8.0,25.0,17.0,29.0,24.0,5.0,15.0,16.0,20.0,28.0,13.0,12.0,2.0,14.0,26.0,22.0,10.0,4.0,19.0,30.0,7.0,18.0,6.0,23.0,11.0,1.0,31.0,3.0,21.0,9.0,27.0
2015,32,1.0,10.0,16.0,29.0,25.0,15.0,7.0,3.0,14.0,13.0,19.0,8.0,22.0,23.0,11.0,18.0,5.0,9.0,27.0,30.0,6.0,2.0,24.0,12.0,17.0,26.0,31.0,28.0,20.0,4.0,21.0
2015,33,11.0,12.0,17.0,29.0,5.0,3.0,26.0,15.0,6.0,2.0,13.0,7.0,27.0,24.0,10.0,28.0,18.0,20.0,22.0,30.0,9.0,19.0,8.0,25.0,21.0,1.0,31.0,4.0,23.0,16.0,14.0
2015,34,21.0,1.0,13.0,29.0,25.0,11.0,28.0,20.0,7.0,3.0,17.0,14.0,24.0,16.0,8.0,19.0,2.0,5.0,15.0,30.0,4.0,12.0,18.0,22.0,9.0,27.0,31.0,26.0,23.0,10.0,6.0
2015,35,7.0,26.0,16.0,29.0,9.0,22.0,5.0,8.0,19.0,28.0,17.0,10.0,2.0,12.0,27.0,18.0,21.0,20.0,1.0,30.0,25.0,6.0,13.0,23.0,11.0,4.0,31.0,3.0,14.0,15.0,24.0
2015,36,27.0,25.0,20.0,29.0,6.0,13.0,28.0,19.0,26.0,24.0,21.0,9.0,3.0,10.0,12.0,8.0,23.0,14.0,15.0,30.0,22.0,4.0,16.0,17.0,7.0,1.0,31.0,11.0,18.0,5.0,2.0
2015,37,2.0,13.0,14.0,29.0,26.0,6.0,15.0,18.0,19.0,5.0,21.0,9.0,22.0,23.0,4.0,20.0,17.0,7.0,28.0,30.0,3.0,16.0,1.0,24.0,12.0,27.0,31.0,25.0,8.0,10.0,11.0
2015,38,11.0,1.0,15.0,29.0,26.0,8.0,25.0,22.0,7.0,2.0,17.0,9.0,6.0,24.0,18.0,27.0,3.0,4.0,20.0,30.0,5.0,28.0,16.0,21.0,12.0,13.0,31.0,10.0,23.0,14.0,19.0
2015,39,10.0,1.0,4.0,29.0,24.0,7.0,28.0,23.0,15.0,2.0,17.0,3.0,21.0,11.0,22.0,18.0,8.0,20.0,13.0,30.0,5.0,19.0,25.0,9.0,6.0,27.0,31.0,26.0,16.0,14.0,12.0
2015,40,21.0,16.0,6.0,29.0,7.0,22.0,15.0,5.0,27.0,10.0,18.0,26.0,3.0,28.0,12.0,20.0,17.0,24.0,9.0,30.0,14.0,4.0,19.0,25.0,11.0,1.0,31.0,23.0,13.0,8.0,2.0
2015,41,20.0,19.0,15.0,29.0,5.0,13.0,4.0,3.0,12.0,24.0,14.0,25.0,7.0,27.0,16.0,28.0,17.0,23.0,8.0,30.0,26.0,11.0,10.0,21.0,22.0,2.0,31.0,1.0,9.0,18.0,6.0
2015,42,10.0,9.0,13.0,29.0,23.0,19.0,28.0,5.0,2.0,4.0,20.0,15.0,17.0,22.0,12.0,16.0,3.0,8.0,25.0,30.0,6.0,1.0,14.0,24.0,7.0,26.0,31.0,21.0,27.0,11.0,18.0
2015,43,15.0,8.0,3.0,29.0,25.0,21.0,9.0,10.0,7.0,12.0,17.0,26.0,11.0,14.0,19.0,24.0,16.0,23.0,22.0,30.0,20.0,28.0,6.0,4.0,2.0,27.0,31.0,5.0,13.0,18.0,1.0
2015,44,24.0,8.0,15.0,29.0,2.0,9.0,5.0,28.0,17.0,26.0,16.0,3.0,1.0,12.0,11.0,4.0,13.0,27.0,22.0,30.0,21.0,23.0,6.0,10.0,19.0,25.0,31.0,20.0,7.0,14.0,18.0
2015,45,20.0,23.0,15.0,29.0,10.0,22.0,26.0,8.0,12.0,21.0,25.0,19.0,3.0,6.0,11.0,28.0,18.0,7.0,5.0,30.0,27.0,2.0,17.0,14.0,16.0,1.0,31.0,13.0,24.0,4.0,9.0
2015,46,11.0,4.0,13.0,29.0,15.0,7.0,27.0,9.0,18.0,8.0,24.0,26.0,17.0,25.0,14.0,28.0,16.0,12.0,19.0,30.0,1.0,10.0,22.0,6.0,3.0,23.0,31.0,20.0,21.0,2.0,5.0
2015,47,6.0,7.0,23.0,29.0,27.0,12.0,5.0,21.0,8.0,18.0,2.0,1.0,10.0,3.0,11.0,26.0,4.0,15.0,24.0,30.0,17.0,9.0,22.0,19.0,20.0,28.0,31.0,16.0,14.0,13.0,25.0
2015,48,27.0,23.0,24.0,29.0,28.0,11.0,2.0,9.0,4.0,7.0,15.0,12.0,18.0,16.0,6.0,5.0,26.0,20.0,22.0,30.0,25.0,3.0,1.0,17.0,14.0,10.0,31.0,8.0,13.0,21.0,19.0
2015,49,23.0,22.0,7.0,29.0,21.0,14.0,16.0,10.0,6.0,3.0,24.0,9.0,1.0,25.0,17.0,15.0,8.0,20.0,11.0,30.0,12.0,2.0,27.0,13.0,4.0,28.0,31.0,26.0,19.0,5.0,18.0
2015,50,19.0,7.0,21.0,29.0,8.0,13.0,25.0,14.0,22.0,9.0,11.0,2.0,18.0,5.0,17.0,20.0,12.0,4.0,26.0,30.0,6.0,16.0,3.0,23.0,10.0,28.0,31.0,24.0,1.0,15.0,27.0
2015,51,9.0,2.0,15.0,29.0,1.0,11.0,3.0,25.0,6.0,4.0,20.0,22.0,7.0,24.0,21.0,26.0,12.0,13.0,14.0,30.0,5.0,8.0,23.0,19.0,10.0,28.0,31.0,16.0,27.0,17.0,18.0
2015,52,4.0,27.0,9.0,29.0,1.0,19.0,28.0,3.0,14.0,16.0,12.0,25.0,5.0,21.0,22.0,20.0,13.0,17.0,8.0,30.0,15.0,18.0,24.0,6.0,11.0,7.0,31.0,2.0,23.0,26.0,10.0
2015,53,22.0,1.0,9.0,29.0,23.0,17.0,27.0,26.0,14.0,16.0,6.0,5.0,10.0,19.0,13.0,11.0,2.0,12.0,21.0,30.0,4.0,15.0,20.0,18.0,3.0,24.0,31.0,25.0,7.0,8.0,28.0
2016,1,20.0,6.0,17.0,29.0,2.0,14.0,22.0,5.0,18.0,3.0,12.0,9.0,26.0,16.0,10.0,1.0,7.0,11.0,23.0,30.0,4.0,13.0,25.0,27.0,8.0,28.0,31.0,24.0,19.0,21.0,15.0
2016,2,26.0,18.0,12.0,29.0,13.0,8.0,27.0,17.0,2.0,11.0,14.0,16.0,10.0,3.0,22.0,1.0,19.0,15.0,5.0,30.0,7.0,4.0,9.0,21.0,25.0,28.0,31.0,23.0,24.0,20.0,6.0
2016,3,20.0,12.0,25.0,29.0,3.0,24.0,28.0,19.0,23.0,8.0,26.0,5.0,1.0,17.0,16.0,4.0,11.0,10.0,7.0,30.0,22.0,9.0,2.0,27.0,13.0,6.0,31.0,21.0,14.0,15.0,18.0
2016,4,27.0,12.0,28.0,29.0,1.0,19.0,16.0,6.0,15.0,9.0,18.0,17.0,26.0,10.0,7.0,25.0,22.0,21.0,14.0,30.0,11.0,4.0,13.0,24.0,20.0,2.0,31.0,5.0,23.0,3.0,8.0
2016,5,14.0,5.0,22.0,29.0,8.0,1.0,2.0,10.0,12.0,19.0,7.0,16.0,28.0,17.0,11.0,9.0,15.0,23.0,27.0,30.0,4.0,13.0,26.0,24.0,18.0,6.0,31.0,3.0,20.0,25.0,21.0
2016,6,23.0,13.0,18.0,29.0,24.0,3.0,26.0,6.0,22.0,2.0,9.0,10.0,27.0,11.0,4.0,19.0,15.0,17.0,21.0,30.0,16.0,12.0,5.0,25.0,8.0,28.0,31.0,20.0,1.0,7.0,14.0
2016,7,2.0,20.0,1.0,29.0,26.0,13.0,7.0,25.0,12.0,23.0,24.0,19.0,5.0,3.0,16.0,18.0,17.0,14.0,8.0,30.0,22.0,15.0,9.0,11.0,6.0,27.0,31.0,28.0,4.0,10.0,21.0
2016,8,9.0,19.0,10.0,29.0,20.0,17.0,1.0,11.0,7.0,28.0,16.0,26.0,5.0,12.0,13.0,4.0,14.0,15.0,24.0,30.0,22.0,8.0,23.0,27.0,21.0,6.0,31.0,25.0,2.0,3.0,18.0
2016,9,5.0,26.0,22.0,29.0,28.0,17.0,2.0,6.0,8.0,4.0,14.0,27.0,15.0,9.0,16.0,18.0,25.0,24.0,3.0,30.0,23.0,19.0,12.0,7.0,20.0,1.0,31.0,10.0,13.0,21.0,11.0
2016,10,9.0,10.0,27.0,29.0,8.0,23.0,1.0,6.0,26.0,24.0,21.0,13.0,25.0,12.0,22.0,17.0,15.0,28.0,7.0,30.0,11.0,19.0,20.0,18.0,14.0,3.0,31.0,2.0,4.0,5.0,16.0
2016,11,4.0,8.0,23.0,29.0,5.0,24.0,1.0,6.0,2.0,22.0,12.0,14.0,18.0,19.0,7.0,16.0,21.0,27.0,25.0,30.0,13.0,15.0,28.0,26.0,10.0,3.0,31.0,17.0,9.0,11.0,20.0
2016,12,25.0,19.0,3.0,29.0,10.0,11.0,23.0,16.0,8.0,2.0,18.0,17.0,15.0,26.0,14.0,20.0,13.0,4.0,24.0,30.0,6.0,7.0,22.0,28.0,12.0,5.0,31.0,21.0,27.0,1.0,9.0
2016,13,2.0,7.0,5.0,29.0,21.0,14.0,6.0,15.0,4.0,13.0,11.0,19.0,27.0,12.0,8.0,23.0,18.0,20.0,28.0,30.0,9.0,10.0,1.0,17.0,3.0,24.0,31.0,25.0,22.0,26.0,16.0
2016,14,24.0,7.0,21.0,29.0,2.0,19.0,23.0,10.0,25.0,4.0,8.0,22.0,12.0,28.0,6.0,27.0,9.0,11.0,14.0,30.0,15.0,20.0,17.0,26.0,3.0,1.0,31.0,5.0,16.0,13.0,18.0
2016,15,19.0,27.0,22.0,29.0,8.0,17.0,2.0,7.0,5.0,12.0,15.0,23.0,10.0,20.0,25.0,14.0,24.0,4.0,28.0,30.0,21.0,16.0,18.0,3.0,26.0,1.0,31.0,6.0,11.0,13.0,9.0
2016,16,8.0,23.0,27.0,29.0,5.0,4.0,1.0,21.0,15.0,20.0,22.0,19.0,17.0,14.0,18.0,13.0,24.0,7.0,6.0,30.0,26.0,28.0,25.0,2.0,16.0,3.0,31.0,10.0,12.0,11.0,9.0
2016,17,24.0,11.0,18.0,29.0,19.0,12.0,14.0,10.0,26.0,8.0,13.0,9.0,3.0,22.0,5.0,23.0,16.0,17.0,1.0,30.0,6.0,21.0,7.0,25.0,4.0,2.0,31.0,20.0,27.0,15.0,28.0
2016,18,11.0,3.0,8.0,29.0,26.0,4.0,1.0,15.0,13.0,5.0,21.0,12.0,28.0,23.0,9.0,19.0,2.0,17.0,25.0,30.0,7.0,14.0,10.0,20.0,16.0,24.0,31.0,27.0,18.0,22.0,6.0
2016,19,17.0,4.0,13.0,29.0,8.0,15.0,22.0,20.0,12.0,5.0,10.0,24.0,2.0,28.0,6.0,27.0,25.0,11.0,26.0,30.0,3.0,7.0,14.0,1.0,9.0,23.0,31.0,18.0,21.0,16.0,19.0
2016,20,4.0,19.0,6.0,29.0,3.0,22.0,9.0,21.0,24.0,20.0,10.0,28.0,17.0,7.0,15.0,13.0,16.0,25.0,8.0,30.0,27.0,5.0,23.0,1.0,12.0,2.0,31.0,11.0,18.0,26.0,14.0
2016,21,23.0,24.0,10.0,29.0,3.0,14.0,28.0,9.0,12.0,15.0,17.0,26.0,2.0,25.0,20.0,7.0,21.0,22.0,18.0,30.0,19.0,16.0,1.0,6.0,27.0,8.0,31.0,5.0,4.0,13.0,11.0
2016,22,19.0,14.0,3.0,29.0,6.0,18.0,28.0,16.0,13.0,5.0,8.0,20.0,21.0,1.0,15.0,2.0,12.0,22.0,25.0,30.0,4.0,7.0,27.0,26.0,17.0,9.0,31.0,24.0,10.0,23.0,11.0
2016,23,22.0,9.0,25.0,29.0,26.0,13.0,4.0,11.0,17.0,2.0,12.0,8.0,3.0,18.0,16.0,24.0,7.0,5.0,1.0,30.0,10.0,19.0,23.0,27.0,15.0,28.0,31.0,6.0,20.0,14.0,21.0
2016,24,15.0,5.0,27.0,29.0,11.0,28.0,8.0,23.0,4.0,17.0,21.0,26.0,2.0,1.0,12.0,9.0,6.0,16.0,13.0,30.0,7.0,22.0,14.0,24.0,25.0,20.0,31.0,3.0,10.0,18.0,19.0
2016,25,16.0,6.0,28.0,29.0,15.0,19.0,4.0,26.0,11.0,3.0,14.0,12.0,1.0,8.0,20.0,22.0,9.0,7.0,21.0,30.0,10.0,13.0,18.0,24.0,5.0,25.0,31.0,17.0,2.0,27.0,23.0
2016,26,17.0,8.0,20.0,29.0,26.0,11.0,28.0,3.0,22.0,15.0,2.0,13.0,23.0,4.0,7.0,6.0,5.0,9.0,21.0,30.0,10.0,19.0,12.0,27.0,24.0,18.0,31.0,14.0,1.0,25.0,16.0
2016,27,20.0,13.0,7.0,29.0,25.0,9.0,27.0,12.0,15.0,23.0,16.0,3.0,1.0,2.0,10.0,11.0,8.0,4.0,26.0,30.0,19.0,14.0,17.0,24.0,18.0,28.0,31.0,6.0,21.0,22.0,5.0
2016,28,15.0,24.0,4.0,29.0,12.0,20.0,1.0,10.0,3.0,28.0,26.0,22.0,9.0,13.0,18.0,21.0,19.0,25.0,11.0,30.0,27.0,7.0,17.0,2.0,16.0,5.0,31.0,6.0,23.0,14.0,8.0
2016,29,6.0,11.0,2.0,29.0,22.0,26.0,23.0,28.0,19.0,12.0,24.0,9.0,25.0,5.0,15.0,10.0,18.0,14.0,27.0,30.0,13.0,3.0,20.0,8.0,17.0,21.0,31.0,4.0,1.0,16.0,7.0
2016,30,23.0,7.0,15.0,29.0,16.0,24.0,3.0,12.0,20.0,10.0,8.0,11.0,25.0,1.0,22.0,9.0,13.0,27.0,14.0,30.0,21.0,18.0,19.0,4.0,26.0,6.0,31.0,2.0,17.0,5.0,28.0
2016,31,28.0,17.0,24.0,29.0,4.0,13.0,18.0,10.0,11.0,25.0,21.0,16.0,1.0,14.0,15.0,27.0,22.0,23.0,5.0,30.0,19.0,8.0,6.0,3.0,26.0,2.0,31.0,9.0,20.0,7.0,12.0
2016,32,6.0,21.0,18.0,29.0,12.0,7.0,1.0,28.0,20.0,19.0,24.0,5.0,27.0,26.0,8.0,2.0,23.0,17.0,9.0,30.0,11.0,14.0,4.0,25.0,22.0,3.0,31.0,16.0,13.0,15.0,10.0
2016,33,14.0,25.0,28.0,29.0,19.0,26.0,3.0,15.0,13.0,17.0,23.0,2.0,8.0,4.0,18.0,12.0,24.0,21.0,6.0,30.0,20.0,10.0,22.0,9.0,27.0,1.0,31.0,5.0,7.0,16.0,11.0
2016,34,13.0,17.0,15.0,29.0,18.0,27.0,5.0,10.0,9.0,21.0,14.0,23.0,26.0,20.0,19.0,28.0,8.0,24.0,25.0,30.0,22.0,7.0,1.0,4.0,12.0,3.0,31.0,16.0,11.0,6.0,2.0
2016,35,13.0,8.0,3.0,29.0,25.0,12.0,1.0,24.0,18.0,16.0,7.0,20.0,4.0,28.0,15.0,27.0,17.0,2.0,26.0,30.0,9.0,5.0,19.0,10.0,23.0,6.0,31.0,21.0,14.0,11.0,22.0
2016,36,2.0,22.0,4.0,29.0,1.0,17.0,24.0,14.0,20.0,7.0,19.0,11.0,28.0,15.0,21.0,18.0,13.0,6.0,5.0,30.0,16.0,27.0,8.0,10.0,3.0,26.0,31.0,9.0,25.0,12.0,23.0
2016,37,5.0,19.0,7.0,29.0,27.0,10.0,1.0,22.0,8.0,12.0,24.0,9.0,25.0,15.0,21.0,13.0,14.0,23.0,18.0,30.0,6.0,17.0,4.0,20.0,2.0,28.0,31.0,16.0,3.0,11.0,26.0
2016,38,15.0,4.0,18.0,29.0,19.0,13.0,6.0,2.0,9.0,3.0,14.0,16.0,1.0,27.0,23.0,12.0,10.0,24.0,11.0,30.0,5.0,28.0,25.0,8.0,7.0,20.0,31.0,21.0,26.0,22.0,17.0
2016,39,21.0,16.0,20.0,29.0,8.0,18.0,3.0,13.0,17.0,26.0,6.0,11.0,5.0,23.0,28.0,10.0,25.0,9.0,2.0,30.0,27.0,15.0,4.0,22.0,14.0,1.0,31.0,12.0,24.0,19.0,7.0
2016,40,17.0,27.0,23.0,29.0,3.0,15.0,18.0,22.0,24.0,26.0,8.0,5.0,13.0,1.0,10.0,4.0,28.0,12.0,11.0,30.0,25.0,14.0,7.0,2.0,21.0,6.0,31.0,9.0,20.0,19.0,16.0
2016,41,16.0,2.0,7.0,29.0,11.0,10.0,24.0,18.0,26.0,1.0,21.0,9.0,20.0,5.0,8.0,27.0,6.0,12.0,14.0,30.0,3.0,25.0,4.0,17.0,19.0,13.0,31.0,23.0,28.0,15.0,22.0
2016,42,16.0,3.0,28.0,29.0,26.0,27.0,1.0,2.0,24.0,15.0,21.0,20.0,25.0,17.0,22.0,4.0,14.0,9.0,5.0,30.0,11.0,19.0,13.0,18.0,7.0,10.0,31.0,8.0,6.0,23.0,12.0
2016,43,14.0,13.0,7.0,29.0,10.0,11.0,2.0,21.0,18.0,22.0,12.0,15.0,25.0,5.0,8.0,16.0,23.0,24.0,27.0,30.0,9.0,3.0,20.0,6.0,1.0,28.0,31.0,26.0,19.0,4.0,17.0
2016,44,12.0,22.0,16.0,29.0,27.0,6.0,18.0,1.0,17.0,8.0,19.0,14.0,21.0,25.0,13.0,2.0,23.0,11.0,20.0,30.0,9.0,10.0,24.0,26.0,4.0,28.0,31.0,3.0,7.0,15.0,5.0
2016,45,13.0,28.0,18.0,29.0,25.0,11.0,5.0,1.0,27.0,16.0,12.0,15.0,8.0,9.0,17.0,10.0,20.0,22.0,19.0,30.0,26.0,14.0,7.0,3.0,23.0,21.0,31.0,2.0,6.0,24.0,4.0
2016,46,17.0,27.0,13.0,29.0,15.0,24.0,5.0,16.0,19.0,6.0,22.0,18.0,3.0,28.0,14.0,11.0,23.0,12.0,7.0,30.0,21.0,9.0,10.0,2.0,20.0,4.0,31.0,26.0,8.0,1.0,25.0
2016,47,13.0,10.0,1.0,29.0,28.0,7.0,6.0,3.0,17.0,15.0,22.0,9.0,27.0,24.0,21.0,14.0,23.0,8.0,18.0,30.0,12.0,20.0,16.0,25.0,11.0,19.0,31.0,5.0,2.0,26.0,4.0
2016,48,24.0,12.0,26.0,29.0,4.0,15.0,2.0,7.0,14.0,19.0,23.0,10.0,28.0,25.0,20.0,22.0,16.0,13.0,3.0,30.0,18.0,27.0,6.0,17.0,9.0,1.0,31.0,5.0,11.0,8.0,21.0
