Date,AGM,AUD,CASH,CHS,FOR,PRO,PX,SD,SENS,STAR,WTI,INTL
2012-01-02,,,,,,,,,,,,
2012-01-09,3.0,2.0,4.0,5.0,7.0,6.0,,,,1.0,8.0,
2012-01-16,7.0,2.0,8.0,3.0,4.0,1.0,,,,5.0,6.0,
2012-01-23,4.0,7.0,1.0,8.0,2.0,6.0,,,,3.0,5.0,
2012-01-30,2.0,3.0,7.0,6.0,4.0,1.0,,,,5.0,8.0,
2012-02-06,7.0,6.0,4.0,3.0,5.0,1.0,,,,8.0,2.0,
2012-02-13,5.0,8.0,1.0,2.0,4.0,7.0,,,,6.0,3.0,
2012-02-20,8.0,6.0,3.0,1.0,7.0,5.0,,,,4.0,2.0,
2012-02-27,3.0,7.0,4.0,2.0,6.0,5.0,,,,1.0,8.0,
2012-03-05,1.0,8.0,7.0,5.0,3.0,2.0,,,,6.0,4.0,
2012-03-12,1.0,8.0,4.0,7.0,3.0,6.0,,,,2.0,5.0,
2012-03-19,5.0,1.0,7.0,2.0,6.0,4.0,,,,3.0,8.0,
2012-03-26,1.0,4.0,2.0,7.0,5.0,3.0,,,,6.0,8.0,
2012-04-02,7.0,6.0,1.0,2.0,4.0,5.0,,,,3.0,8.0,
2012-04-09,5.0,8.0,7.0,4.0,2.0,1.0,,,,3.0,6.0,
2012-04-16,1.0,4.0,5.0,3.0,6.0,2.0,,,,8.0,7.0,
2012-04-23,3.0,1.0,6.0,4.0,8.0,5.0,,,,7.0,2.0,
2012-04-30,1.0,8.0,3.0,6.0,2.0,5.0,,,,7.0,4.0,
2012-05-07,1.0,6.0,2.0,5.0,3.0,8.0,,,,4.0,7.0,
2012-05-14,2.0,5.0,3.0,1.0,7.0,4.0,,,,8.0,6.0,
2012-05-21,8.0,6.0,5.0,3.0,7.0,2.0,,,,4.0,1.0,
2012-05-28,5.0,2.0,1.0,6.0,7.0,8.0,,,,3.0,4.0,
2012-06-04,1.0,2.0,6.0,7.0,8.0,5.0,,,,4.0,3.0,
2012-06-11,3.0,1.0,6.0,7.0,2.0,5.0,,,,4.0,8.0,
2012-06-18,3.0,5.0,6.0,4.0,8.0,1.0,,,,2.0,7.0,
2012-06-25,7.0,2.0,8.0,4.0,6.0,5.0,,,,3.0,1.0,
2012-07-02,2.0,1.0,6.0,7.0,3.0,8.0,,,,5.0,4.0,
2012-07-09,5.0,4.0,1.0,3.0,7.0,8.0,,,,2.0,6.0,
2012-07-16,8.0,5.0,2.0,4.0,7.0,6.0,,,,3.0,1.0,
2012-07-23,5.0,8.0,2.0,1.0,7.0,3.0,,,,6.0,4.0,
2012-07-30,3.0,1.0,8.0,4.0,7.0,2.0,,,,6.0,5.0,
2012-08-06,8.0,6.0,1.0,5.0,3.0,7.0,,,,4.0,2.0,
2012-08-13,8.0,2.0,7.0,3.0,5.0,1.0,,,,4.0,6.0,
2012-08-20,5.0,8.0,4.0,2.0,1.0,3.0,,,,6.0,7.0,
2012-08-27,2.0,3.0,7.0,4.0,6.0,1.0,,,,5.0,8.0,
2012-09-03,8.0,7.0,5.0,6.0,2.0,3.0,,,,4.0,1.0,
2012-09-10,5.0,3.0,7.0,8.0,1.0,6.0,,,,2.0,4.0,
2012-09-17,3.0,2.0,6.0,5.0,7.0,1.0,,,,4.0,8.0,
2012-09-24,2.0,8.0,1.0,6.0,5.0,4.0,,,,3.0,7.0,
2012-10-01,3.0,1.0,6.0,2.0,4.0,5.0,,,,7.0,8.0,
2012-10-08,1.0,8.0,7.0,5.0,6.0,2.0,,,,3.0,4.0,
2012-10-15,3.0,8.0,4.0,1.0,6.0,7.0,,,,2.0,5.0,
2012-10-22,1.0,2.0,4.0,5.0,3.0,6.0,,,,7.0,8.0,
2012-10-29,6.0,7.0,1.0,3.0,8.0,4.0,,,,5.0,2.0,
2012-11-05,1.0,2.0,4.0,3.0,7.0,8.0,,,,6.0,5.0,
2012-11-12,1.0,3.0,2.0,5.0,6.0,4.0,,,,7.0,8.0,
2012-11-19,2.0,6.0,8.0,4.0,7.0,3.0,,,,5.0,1.0,
2012-11-26,4.0,7.0,3.0,6.0,1.0,2.0,,,,8.0,5.0,
2012-12-03,6.0,3.0,4.0,7.0,1.0,8.0,,,,5.0,2.0,
2012-12-10,8.0,1.0,5.0,4.0,3.0,7.0,,,,2.0,6.0,
2012-12-17,6.0,3.0,8.0,4.0,1.0,2.0,,,,7.0,5.0,
2012-12-24,1.0,7.0,6.0,5.0,3.0,4.0,,,,2.0,8.0,
2012-12-31,6.0,3.0,8.0,7.0,4.0,2.0,,,,5.0,1.0,
2013-01-07,2.0,6.0,4.0,8.0,3.0,7.0,,,,1.0,5.0,
2013-01-14,8.0,6.0,3.0,1.0,7.0,2.0,,,,5.0,4.0,
2013-01-21,4.0,5.0,7.0,8.0,2.0,1.0,,,,3.0,6.0,
2013-01-28,5.0,1.0,7.0,6.0,8.0,3.0,,,,2.0,4.0,
2013-02-04,2.0,4.0,5.0,6.0,8.0,1.0,,,,3.0,7.0,
2013-02-11,4.0,7.0,5.0,6.0,2.0,1.0,,,,3.0,8.0,
2013-02-18,7.0,3.0,2.0,5.0,8.0,1.0,,,,6.0,4.0,
2013-02-25,6.0,7.0,1.0,2.0,4.0,3.0,,,,5.0,8.0,
2013-03-04,8.0,6.0,3.0,7.0,1.0,5.0,,,,2.0,4.0,
2013-03-11,7.0,6.0,4.0,2.0,1.0,8.0,,,,3.0,5.0,
2013-03-18,4.0,8.0,2.0,6.0,3.0,1.0,,,,5.0,7.0,
2013-03-25,8.0,3.0,1.0,7.0,5.0,4.0,,,,2.0,6.0,
2013-04-01,6.0,3.0,2.0,1.0,7.0,5.0,,,,4.0,8.0,
2013-04-08,2.0,3.0,7.0,5.0,1.0,8.0,,,,4.0,6.0,
2013-04-15,4.0,3.0,1.0,5.0,6.0,7.0,,,,2.0,8.0,
2013-04-22,7.0,6.0,8.0,4.0,5.0,3.0,,,,1.0,2.0,
2013-04-29,7.0,6.0,8.0,3.0,4.0,1.0,,,,5.0,2.0,
2013-05-06,5.0,7.0,6.0,4.0,2.0,8.0,,,,3.0,1.0,
2013-05-13,6.0,1.0,7.0,4.0,8.0,2.0,,,,5.0,3.0,
2013-05-20,8.0,4.0,2.0,3.0,6.0,5.0,,,,7.0,1.0,
2013-05-27,4.0,5.0,6.0,8.0,7.0,1.0,,,,2.0,3.0,
2013-06-03,6.0,1.0,3.0,5.0,8.0,7.0,,,,4.0,2.0,
2013-06-10,7.0,3.0,2.0,8.0,5.0,1.0,,,,4.0,6.0,
2013-06-17,6.0,8.0,1.0,3.0,7.0,2.0,,,,4.0,5.0,
2013-06-24,1.0,5.0,8.0,2.0,6.0,7.0,,,,4.0,3.0,
2013-07-01,2.0,5.0,6.0,8.0,4.0,3.0,,,,7.0,1.0,
2013-07-08,3.0,2.0,7.0,8.0,1.0,4.0,,,,5.0,6.0,
2013-07-15,2.0,3.0,5.0,8.0,7.0,6.0,,,,4.0,1.0,
2013-07-22,5.0,8.0,1.0,4.0,6.0,2.0,,,,7.0,3.0,
2013-07-29,7.0,5.0,6.0,1.0,4.0,8.0,,,,3.0,2.0,
2013-08-05,2.0,6.0,1.0,5.0,7.0,3.0,,,,4.0,8.0,
2013-08-12,1.0,8.0,4.0,5.0,6.0,2.0,,,,7.0,3.0,
2013-08-19,1.0,7.0,5.0,8.0,3.0,2.0,,,,4.0,6.0,
2013-08-26,7.0,8.0,3.0,5.0,6.0,4.0,,,,2.0,1.0,
2013-09-02,8.0,4.0,1.0,6.0,5.0,7.0,,,,3.0,2.0,
2013-09-09,8.0,3.0,1.0,4.0,2.0,6.0,,,,7.0,5.0,
2013-09-16,2.0,1.0,8.0,3.0,6.0,7.0,,,,5.0,4.0,
2013-09-23,7.0,8.0,4.0,6.0,1.0,3.0,,,,2.0,5.0,
2013-09-30,5.0,7.0,2.0,4.0,8.0,6.0,,,,3.0,1.0,
2013-10-07,3.0,1.0,6.0,8.0,2.0,7.0,,,,5.0,4.0,
2013-10-14,7.0,4.0,8.0,6.0,2.0,5.0,,,,1.0,3.0,
2013-10-21,2.0,5.0,6.0,3.0,7.0,1.0,,,,4.0,8.0,
2013-10-28,5.0,7.0,2.0,1.0,8.0,6.0,,,,3.0,4.0,
2013-11-04,4.0,1.0,5.0,3.0,7.0,2.0,,,,6.0,8.0,
2013-11-11,6.0,7.0,8.0,2.0,5.0,4.0,,,,1.0,3.0,
2013-11-18,6.0,2.0,3.0,7.0,8.0,5.0,,,,4.0,1.0,
2013-11-25,6.0,1.0,4.0,3.0,7.0,2.0,,,,5.0,8.0,
2013-12-02,3.0,7.0,6.0,4.0,5.0,2.0,,,,1.0,8.0,
2013-12-09,7.0,4.0,2.0,1.0,3.0,8.0,,,,5.0,6.0,
2013-12-16,4.0,7.0,6.0,8.0,2.0,3.0,,,,1.0,5.0,
2013-12-23,7.0,1.0,3.0,6.0,5.0,4.0,,,,8.0,2.0,
2013-12-30,7.0,2.0,6.0,1.0,3.0,5.0,,,,4.0,8.0,
2014-01-06,8.0,2.0,3.0,7.0,4.0,6.0,,,,1.0,5.0,
2014-01-13,3.0,8.0,1.0,7.0,5.0,4.0,,,,2.0,6.0,
2014-01-20,4.0,8.0,7.0,6.0,2.0,5.0,,,,3.0,1.0,
2014-01-27,7.0,5.0,1.0,4.0,6.0,3.0,,,,2.0,8.0,
2014-02-03,5.0,2.0,7.0,1.0,8.0,6.0,,,,3.0,4.0,
2014-02-10,7.0,3.0,2.0,8.0,6.0,4.0,,,,5.0,1.0,
2014-02-17,8.0,6.0,2.0,4.0,7.0,1.0,,,,5.0,3.0,
2014-02-24,1.0,3.0,2.0,7.0,5.0,8.0,,,,6.0,4.0,
2014-03-03,2.0,4.0,1.0,5.0,3.0,8.0,,,,7.0,6.0,
2014-03-10,1.0,5.0,2.0,6.0,7.0,8.0,,,,4.0,3.0,
2014-03-17,6.0,2.0,7.0,3.0,5.0,4.0,,,,8.0,1.0,
2014-03-24,4.0,8.0,6.0,5.0,7.0,2.0,,,,3.0,1.0,
2014-03-31,2.0,1.0,4.0,7.0,6.0,8.0,,,,5.0,3.0,
2014-04-07,1.0,3.0,8.0,5.0,7.0,6.0,,,,4.0,2.0,
2014-04-14,6.0,1.0,8.0,7.0,3.0,5.0,,,,4.0,2.0,
2014-04-21,4.0,5.0,1.0,3.0,6.0,8.0,,,,2.0,7.0,
2014-04-28,5.0,6.0,8.0,3.0,1.0,7.0,,,,4.0,2.0,
2014-05-05,2.0,1.0,6.0,3.0,4.0,7.0,,,,5.0,8.0,
2014-05-12,8.0,1.0,6.0,2.0,3.0,4.0,,,,5.0,7.0,
2014-05-19,5.0,7.0,4.0,8.0,1.0,3.0,,,,2.0,6.0,
2014-05-26,2.0,5.0,1.0,7.0,8.0,4.0,,,,6.0,3.0,
2014-06-02,2.0,6.0,7.0,4.0,1.0,5.0,,,,3.0,8.0,
2014-06-09,8.0,6.0,3.0,2.0,5.0,4.0,,,,7.0,1.0,
2014-06-16,1.0,5.0,7.0,8.0,3.0,2.0,,,,6.0,4.0,
2014-06-23,8.0,4.0,7.0,2.0,6.0,1.0,,,,3.0,5.0,
2014-06-30,2.0,1.0,6.0,5.0,4.0,3.0,,,,8.0,7.0,
2014-07-07,6.0,2.0,4.0,5.0,3.0,8.0,,,,1.0,7.0,
2014-07-14,7.0,6.0,3.0,1.0,4.0,2.0,,,,5.0,8.0,
2014-07-21,6.0,8.0,5.0,7.0,1.0,2.0,,,,3.0,4.0,
2014-07-28,1.0,6.0,3.0,4.0,7.0,2.0,,,,5.0,8.0,
2014-08-04,6.0,5.0,3.0,7.0,2.0,8.0,,,,4.0,1.0,
2014-08-11,1.0,5.0,8.0,6.0,3.0,4.0,,,,2.0,7.0,
2014-08-18,7.0,8.0,2.0,1.0,6.0,3.0,,,,4.0,5.0,
2014-08-25,5.0,8.0,4.0,7.0,3.0,2.0,,,,6.0,1.0,
2014-09-01,3.0,2.0,6.0,7.0,5.0,1.0,,,,4.0,8.0,
2014-09-08,3.0,4.0,5.0,2.0,7.0,1.0,,,,6.0,8.0,
2014-09-15,3.0,1.0,2.0,6.0,4.0,8.0,,,,5.0,7.0,
2014-09-22,2.0,8.0,1.0,3.0,4.0,5.0,,,,6.0,7.0,
2014-09-29,3.0,4.0,1.0,2.0,6.0,7.0,,,,5.0,8.0,
2014-10-06,1.0,4.0,2.0,3.0,7.0,5.0,,,,6.0,8.0,
2014-10-13,8.0,1.0,2.0,4.0,7.0,6.0,,,,3.0,5.0,
2014-10-20,7.0,5.0,6.0,4.0,1.0,2.0,,,,3.0,8.0,
2014-10-27,3.0,2.0,6.0,8.0,5.0,1.0,,,,4.0,7.0,
2014-11-03,4.0,8.0,7.0,5.0,6.0,2.0,,,,3.0,1.0,
2014-11-10,8.0,4.0,7.0,3.0,5.0,1.0,,,,6.0,2.0,
2014-11-17,6.0,2.0,3.0,4.0,5.0,8.0,,,,7.0,1.0,
2014-11-24,3.0,1.0,6.0,5.0,7.0,2.0,,,,4.0,8.0,
2014-12-01,4.0,1.0,3.0,5.0,6.0,7.0,,,,2.0,8.0,
2014-12-08,7.0,2.0,4.0,1.0,3.0,5.0,,,,6.0,8.0,
2014-12-15,2.0,3.0,6.0,7.0,5.0,4.0,,,,8.0,1.0,
2014-12-22,6.0,2.0,8.0,3.0,5.0,1.0,,,,4.0,7.0,
2014-12-29,3.0,1.0,4.0,6.0,5.0,8.0,,,,2.0,7.0,
2015-01-05,7.0,3.0,5.0,1.0,4.0,6.0,,,,2.0,8.0,
2015-01-12,1.0,3.0,5.0,4.0,7.0,2.0,,,,8.0,6.0,
2015-01-19,5.0,8.0,4.0,3.0,6.0,1.0,,,,2.0,7.0,
2015-01-26,3.0,5.0,1.0,2.0,6.0,8.0,,,,4.0,7.0,
2015-02-02,2.0,4.0,6.0,5.0,3.0,8.0,,,,7.0,1.0,
2015-02-09,1.0,6.0,7.0,2.0,3.0,8.0,,,,5.0,4.0,
2015-02-16,4.0,3.0,2.0,6.0,7.0,1.0,,,,5.0,8.0,
2015-02-23,6.0,8.0,4.0,1.0,3.0,2.0,,,,5.0,7.0,
2015-03-02,3.0,5.0,4.0,7.0,1.0,8.0,,,,6.0,2.0,
2015-03-09,7.0,1.0,2.0,3.0,5.0,4.0,,,,6.0,8.0,
2015-03-16,8.0,6.0,3.0,4.0,5.0,1.0,,,,2.0,7.0,
2015-03-23,4.0,6.0,2.0,8.0,5.0,3.0,,,,7.0,1.0,
2015-03-30,1.0,2.0,5.0,7.0,3.0,6.0,,,,8.0,4.0,
2015-04-06,8.0,3.0,5.0,6.0,7.0,4.0,,,,2.0,1.0,
2015-04-13,6.0,5.0,2.0,7.0,4.0,8.0,,,,3.0,1.0,
2015-04-20,1.0,6.0,4.0,2.0,7.0,3.0,,,,5.0,8.0,
2015-04-27,3.0,7.0,6.0,5.0,2.0,8.0,,,,4.0,1.0,
2015-05-04,1.0,5.0,2.0,3.0,7.0,8.0,,,,4.0,6.0,
2015-05-11,4.0,7.0,6.0,5.0,3.0,1.0,,,,2.0,8.0,
2015-05-18,6.0,5.0,2.0,4.0,7.0,3.0,,,,1.0,8.0,
2015-05-25,3.0,2.0,5.0,7.0,8.0,6.0,,,,4.0,1.0,
2015-06-01,7.0,3.0,4.0,5.0,6.0,1.0,,,,2.0,8.0,
2015-06-08,4.0,5.0,1.0,7.0,3.0,2.0,,,,8.0,6.0,
2015-06-15,8.0,6.0,4.0,3.0,5.0,1.0,,,,7.0,2.0,
2015-06-22,6.0,4.0,3.0,5.0,2.0,8.0,,,,7.0,1.0,
2015-06-29,5.0,2.0,1.0,4.0,7.0,6.0,,,,3.0,8.0,
2015-07-06,6.0,4.0,2.0,5.0,7.0,1.0,,,,3.0,8.0,
2015-07-13,6.0,4.0,1.0,7.0,2.0,3.0,,,,5.0,8.0,
2015-07-20,7.0,8.0,1.0,4.0,2.0,3.0,,,,6.0,5.0,
2015-07-27,4.0,2.0,6.0,5.0,7.0,1.0,,,,3.0,8.0,
2015-08-03,5.0,3.0,6.0,4.0,2.0,1.0,,,,7.0,8.0,
2015-08-10,2.0,7.0,6.0,5.0,1.0,8.0,,,,3.0,4.0,
2015-08-17,7.0,1.0,3.0,5.0,6.0,2.0,,,,4.0,8.0,
2015-08-24,7.0,6.0,8.0,3.0,4.0,2.0,,,,5.0,1.0,
2015-08-31,5.0,6.0,8.0,2.0,7.0,3.0,,,,4.0,1.0,
2015-09-07,1.0,4.0,3.0,7.0,6.0,5.0,,,,2.0,8.0,
2015-09-14,3.0,6.0,8.0,2.0,7.0,5.0,,,,4.0,1.0,
2015-09-21,4.0,7.0,2.0,3.0,1.0,6.0,,,,5.0,8.0,
2015-09-28,7.0,1.0,6.0,5.0,3.0,2.0,,,,4.0,8.0,
2015-10-05,2.0,5.0,6.0,8.0,3.0,4.0,,,,7.0,1.0,
2015-10-12,1.0,2.0,5.0,7.0,3.0,6.0,,,,4.0,8.0,
2015-10-19,2.0,3.0,1.0,8.0,4.0,6.0,,,,5.0,7.0,
2015-10-26,5.0,7.0,1.0,3.0,6.0,2.0,,,,4.0,8.0,
2015-11-02,2.0,3.0,4.0,6.0,5.0,8.0,,,,7.0,1.0,
2015-11-09,3.0,4.0,1.0,8.0,6.0,5.0,,,,2.0,7.0,
2015-11-16,7.0,2.0,8.0,4.0,3.0,1.0,,,,6.0,5.0,
2015-11-23,7.0,2.0,6.0,8.0,5.0,1.0,,,,4.0,3.0,
2015-11-30,1.0,4.0,2.0,8.0,3.0,6.0,,,,5.0,7.0,
2015-12-07,1.0,6.0,3.0,2.0,8.0,4.0,,,,5.0,7.0,
2015-12-14,1.0,3.0,2.0,6.0,5.0,7.0,,,,4.0,8.0,
2015-12-21,6.0,4.0,5.0,8.0,2.0,7.0,,,,3.0,1.0,
2015-12-28,6.0,3.0,2.0,7.0,5.0,1.0,,,4.0,8.0,9.0,
2016-01-04,3.0,5.0,7.0,1.0,6.0,8.0,,,2.0,4.0,9.0,
2016-01-11,7.0,5.0,3.0,4.0,6.0,9.0,,,1.0,2.0,8.0,
2016-01-18,2.0,4.0,5.0,7.0,3.0,9.0,,,6.0,8.0,1.0,
2016-01-25,2.0,4.0,3.0,6.0,8.0,9.0,,,7.0,5.0,1.0,
2016-02-01,5.0,6.0,3.0,4.0,2.0,9.0,,,1.0,7.0,8.0,
2016-02-08,5.0,1.0,6.0,2.0,4.0,7.0,,,3.0,9.0,8.0,
2016-02-15,6.0,2.0,7.0,4.0,5.0,3.0,,,8.0,1.0,9.0,
2016-02-22,3.0,9.0,5.0,1.0,2.0,8.0,,,6.0,7.0,4.0,
2016-02-29,8.0,7.0,5.0,6.0,2.0,3.0,,,9.0,4.0,1.0,
2016-03-07,1.0,6.0,3.0,8.0,5.0,9.0,,,4.0,2.0,7.0,
2016-03-14,2.0,8.0,3.0,4.0,1.0,5.0,,,9.0,7.0,6.0,
2016-03-21,1.0,8.0,4.0,6.0,3.0,2.0,,,7.0,5.0,9.0,
2016-03-28,8.0,5.0,7.0,3.0,2.0,6.0,,,1.0,4.0,9.0,
2016-04-04,4.0,5.0,2.0,9.0,6.0,8.0,,,1.0,7.0,3.0,
2016-04-11,9.0,6.0,5.0,1.0,3.0,8.0,,,2.0,4.0,7.0,
2016-04-18,3.0,2.0,9.0,8.0,6.0,5.0,,,1.0,7.0,4.0,
2016-04-25,3.0,5.0,2.0,9.0,7.0,4.0,,,8.0,6.0,1.0,
2016-05-02,2.0,1.0,5.0,6.0,8.0,3.0,,,9.0,7.0,4.0,
2016-05-09,9.0,3.0,4.0,8.0,6.0,5.0,,,2.0,1.0,7.0,
2016-05-16,9.0,5.0,3.0,4.0,8.0,1.0,,,2.0,6.0,7.0,
2016-05-23,7.0,5.0,6.0,9.0,3.0,1.0,,,2.0,4.0,8.0,
2016-05-30,8.0,2.0,5.0,3.0,4.0,1.0,,,7.0,6.0,9.0,
2016-06-06,3.0,5.0,2.0,9.0,8.0,1.0,,,6.0,7.0,4.0,
2016-06-13,9.0,2.0,5.0,3.0,6.0,7.0,,,4.0,8.0,1.0,
2016-06-20,4.0,3.0,5.0,8.0,7.0,2.0,,,6.0,9.0,1.0,
2016-06-27,7.0,6.0,9.0,2.0,8.0,1.0,,,3.0,5.0,4.0,
2016-07-04,1.0,4.0,6.0,3.0,5.0,7.0,,,9.0,2.0,8.0,
2016-07-11,1.0,7.0,3.0,4.0,6.0,8.0,,,5.0,2.0,9.0,
2016-07-18,3.0,8.0,5.0,4.0,6.0,1.0,,,9.0,2.0,7.0,
2016-07-25,7.0,1.0,4.0,3.0,5.0,2.0,,,9.0,6.0,8.0,
2016-08-01,4.0,8.0,2.0,7.0,6.0,3.0,,,9.0,1.0,5.0,
2016-08-08,4.0,7.0,3.0,8.0,5.0,6.0,,,1.0,9.0,2.0,
2016-08-15,1.0,3.0,8.0,2.0,5.0,6.0,,,7.0,4.0,9.0,
2016-08-22,5.0,6.0,1.0,7.0,3.0,2.0,,,4.0,8.0,9.0,
2016-08-29,7.0,6.0,3.0,1.0,5.0,2.0,,,9.0,4.0,8.0,
2016-09-05,1.0,8.0,3.0,5.0,9.0,2.0,,,4.0,7.0,6.0,
2016-09-12,1.0,7.0,6.0,5.0,8.0,4.0,,,2.0,3.0,9.0,
2016-09-19,8.0,9.0,6.0,3.0,2.0,1.0,,,7.0,4.0,5.0,
2016-09-26,9.0,4.0,6.0,8.0,5.0,2.0,,,7.0,3.0,1.0,
2016-10-03,4.0,3.0,1.0,2.0,7.0,5.0,,,9.0,6.0,8.0,
2016-10-10,4.0,9.0,2.0,7.0,6.0,10.0,,1.0,5.0,3.0,8.0,
2016-10-17,6.0,2.0,8.0,9.0,7.0,4.0,,1.0,10.0,3.0,5.0,
2016-10-24,2.0,7.0,1.0,4.0,6.0,3.0,,8.0,10.0,5.0,9.0,
2016-10-31,7.0,4.0,6.0,9.0,2.0,1.0,,8.0,3.0,5.0,10.0,
2016-11-07,2.0,6.0,3.0,1.0,4.0,7.0,,9.0,10.0,8.0,5.0,
2016-11-14,2.0,5.0,3.0,6.0,7.0,8.0,,9.0,1.0,4.0,10.0,
2016-11-21,8.0,5.0,4.0,3.0,7.0,9.0,,10.0,1.0,6.0,2.0,
2016-11-28,5.0,7.0,8.0,4.0,2.0,10.0,,6.0,3.0,9.0,1.0,
2016-12-05,2.0,6.0,4.0,3.0,9.0,7.0,,10.0,1.0,5.0,8.0,
2016-12-12,4.0,8.0,2.0,9.0,6.0,7.0,,3.0,10.0,5.0,1.0,
2016-12-19,4.0,3.0,6.0,10.0,7.0,9.0,,5.0,2.0,8.0,1.0,
2016-12-26,5.0,8.0,4.0,7.0,2.0,1.0,,6.0,10.0,3.0,9.0,
2017-01-02,3.0,9.0,5.0,8.0,6.0,4.0,,10.0,2.0,7.0,1.0,
2017-01-09,8.0,2.0,1.0,9.0,6.0,4.0,,7.0,10.0,5.0,3.0,
2017-01-16,2.0,9.0,4.0,7.0,3.0,8.0,,6.0,1.0,10.0,5.0,
2017-01-23,5.0,6.0,3.0,10.0,2.0,1.0,,7.0,8.0,4.0,9.0,
2017-01-30,4.0,1.0,10.0,2.0,7.0,6.0,,8.0,3.0,5.0,9.0,
2017-02-06,6.0,9.0,10.0,1.0,4.0,2.0,,8.0,3.0,5.0,7.0,
2017-02-13,2.0,1.0,5.0,6.0,4.0,9.0,,8.0,10.0,3.0,7.0,
2017-02-20,5.0,3.0,7.0,2.0,4.0,1.0,,8.0,10.0,6.0,9.0,
2017-02-27,7.0,8.0,5.0,9.0,6.0,10.0,,3.0,4.0,2.0,1.0,
2017-03-06,1.0,8.0,2.0,5.0,3.0,4.0,,7.0,10.0,6.0,9.0,
2017-03-13,5.0,7.0,1.0,4.0,9.0,3.0,,8.0,10.0,6.0,2.0,
2017-03-20,10.0,6.0,9.0,4.0,2.0,8.0,,5.0,7.0,1.0,3.0,
